ID,Famille,Catégorie,Nom français,Nom court,Type,Numéro,rue,Étage,Bureau,Ville,Code postal,Arrondissement,Classification,Longitude,Latitude
3264,Service public,Transport,Métro Préfontaine,Préfontaine,Station de métro,3100,Rue Hochelaga,0, ,Montréal,H1W 3W7,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.55432436,45.54152649
3265,Service public,Transport,Métro Joliette,Joliette,Station de métro,3580,Rue Hochelaga,0, ,Montréal,H1W 1J1,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.55104438,45.54706048
3266,Service public,Transport,Métro Pie-IX,Pie-IX,Station de métro,2705,Boulevard Pie-IX,0, ,Montréal,H1V 3P1,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.551903,45.55399073
3267,Service public,Transport,Métro Viau,Viau,Station de métro,4855,Avenue Pierre-de-Coubertin,0, ,Montréal,H1V 3V4,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.54733004,45.56101955
3268,Service public,Transport,Métro Assomption,Assomption,Station de métro,3075,Boulevard de l'Assomption,0, ,Montréal,H1N 2H1,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.54675129,45.56930372
3269,Service public,Transport,Métro Cadillac,Cadillac,Station de métro,3075,Rue Sherbrooke Est,0, ,Montréal,H1N 1B7,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.54709831,45.57680393
3270,Service public,Transport,Métro Langelier,Langelier,Station de métro,6595,Rue Sherbrooke Est,0, ,Montréal,H1N 1C5,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.54361392,45.582658
3271,Service public,Transport,Métro Radisson,Radisson,Station de métro,7155,Rue Sherbrooke Est,0, ,Montréal, ,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.5396152,45.589305
3272,Service public,Transport,Métro Honoré-Beaugrand,Honoré-Beaugrand,Station de métro,7950,Rue Sherbrooke Est,0, ,Montréal,H1L 1A8,Mercier–Hochelaga-Maisonneuve,niveau 1,-73.53448417,45.59673236
3273,Service public,Transport,"Métro Georges-Vanier
","Georges-Vanier
",Station de métro,2040,Rue St-Antoine Ouest,0, ,Montréal,H3J 1A6,Le Sud-Ouest,niveau 1,-73.57650119,45.48891792
3274,Service public,Transport,Métro Lionel-Groulx,Lionel-Groulx,Station de métro,620,Avenue Atwater,0, ,Montréal,H4C 2G6,Le Sud-Ouest,niveau 1,-73.57973363,45.48282579
3275,Service public,Transport,Métro Place-Saint-Henri,Place-Saint-Henri,Station de métro,555,Rue Saint-Ferdinand,0, ,Montréal,H4C 3L7,Le Sud-Ouest,niveau 1,-73.58653484,45.47715215
3276,Service public,Transport,Métro Charlevoix,Charlevoix,Station de métro,2600,Rue Centre,0, ,Montréal,H3K 1K1,Le Sud-Ouest,niveau 1,-73.56934465,45.47818876
3277,Service public,Transport,Métro LaSalle,LaSalle,Station de métro,301,Rue Caisse,0, ,Montréal,H4G 3M3,Verdun,niveau 1,-73.56614548,45.47081207
3278,Service public,Transport,Métro De l'Église,De l'Église,Station de métro,250,Rue Galt,0, ,Montréal,H4G 2P4,Verdun,niveau 1,-73.5673422,45.46177655
3279,Service public,Transport,Métro Verdun,Verdun,Station de métro,4525,Rue de Verdun,0, ,Montréal,H4G 3G7,Verdun,niveau 1,-73.57195794,45.45923257
3280,Service public,Transport,Métro Jolicoeur,Jolicoeur,Station de métro,6200,Rue Drake,0, ,Montréal,H4E 4J6,Le Sud-Ouest,niveau 1,-73.58201179,45.45677851
3281,Service public,Transport,Métro Monk,Monk,Station de métro,6805,Boulevard Monk,0, ,Montréal,H4E 3J4,Le Sud-Ouest,niveau 1,-73.59340764,45.45098207
